Index,Total Frames,Difference
1028,2606,550
1029,2608,550
1030,2610,550
1031,2612,550
1032,2614,550
1033,2616,550
1034,2618,550
1035,2620,550
1036,2622,550
1037,2624,550
1038,2626,550
1039,2628,550
1040,2630,550
1041,2632,550
1042,2634,550
1043,2636,550
1044,2638,550
1045,2640,550
1046,2642,550
1047,2644,550
1048,2646,550
1049,2648,550
1050,2650,550
1051,2652,550
1052,2654,550
1053,2656,550
1054,2658,550
1055,2660,550
1056,2662,550
1057,2664,550
1058,2666,550
1059,2668,550
1060,2670,550
1061,2672,550
1062,2674,550
1063,2676,550
1064,2678,550
1065,2680,550
1066,2682,550
1067,2684,550
1068,2686,550
1069,2688,550
1070,2690,550
1071,2692,550
1072,2694,550
1073,2696,550
1074,2698,550
1075,2700,550
1076,2702,550
1077,2704,550
1078,2706,550
1079,2708,550
1080,2710,550
1081,2712,550
1082,2714,550
1083,2716,550
1084,2718,550
1085,2720,550
1086,2722,550
1087,2724,550
1088,2726,550
1089,2728,550
1090,2730,550
1091,2732,550
1092,2734,550
1093,2736,550
1094,2738,550
1095,2740,550
1096,2742,550
1097,2744,550
1098,2746,550
1099,2748,550
1100,2750,550
1101,2752,550
1102,2754,550
1103,2756,550
1104,2758,550
1105,2760,550
1106,2762,550
1107,2764,550
1108,2766,550
1109,2768,550
1110,2770,550
1111,2772,550
1112,2774,550
1113,2776,550
1114,2778,550
1115,2780,550
1116,2782,550
1117,2784,550
1118,2786,550
1119,2788,550
1120,2790,550
1121,2792,550
1122,2794,550
1123,2796,550
1124,2798,550
1125,2800,550
1126,2802,550
1127,2804,550
1128,2806,550
1129,2808,550
1130,2810,550
1131,2812,550
1132,2814,550
1133,2816,550
1134,2818,550
1135,2820,550
1136,2822,550
1137,2824,550
1138,2826,550
1139,2828,550
1140,2830,550
1141,2832,550
1142,2834,550
1143,2836,550
1144,2838,550
1145,2840,550
1146,2842,550
1147,2844,550
1148,2846,550
1149,2848,550
1150,2850,550
1151,2852,550
1152,2854,550
1153,2856,550
1154,2858,550
1155,2860,550
1156,2862,550
1157,2864,550
1158,2866,550
1159,2868,550
1160,2870,550
1161,2872,550
1162,2874,550
1163,2876,550
1164,2878,550
1165,2880,550
1166,2882,550
1167,2884,550
1168,2886,550
1169,2888,550
1170,2890,550
1171,2892,550
1172,2894,550
1173,2896,550
1174,2898,550
1175,2900,550
1176,2902,550
1177,2904,550
1178,2906,550
1179,2908,550
1180,2910,550
1181,2912,550
1182,2914,550
1183,2916,550
1184,2918,550
1185,2920,550
1186,2922,550
1187,2924,550
1188,2926,550
1189,2928,550
1190,2930,550
1191,2932,550
1192,2934,550
1193,2936,550
1194,2938,550
1195,2940,550
1196,2942,550
1197,2944,550
1198,2946,550
1199,2948,550
1200,2950,550
1201,2952,550
1202,2954,550
1203,2956,550
1204,2958,550
1205,2960,550
1206,2962,550
1207,2964,550
1208,2966,550
1209,2968,550
1210,2970,550
1211,2972,550
1212,2974,550
1213,2976,550
1214,2978,550
1215,2980,550
1216,2982,550
1217,2984,550
1218,2986,550
1219,2988,550
1220,2990,550
1221,2992,550
1222,2994,550
1223,2996,550
1224,2998,550
1225,3000,550
1226,3002,550
1227,3004,550
1228,3006,550
1229,3008,550
1230,3010,550
1231,3012,550
1232,3014,550
1233,3016,550
1234,3018,550
1235,3020,550
1236,3022,550
1237,3024,550
1238,3026,550
1239,3028,550
1240,3030,550
1241,3032,550
1242,3034,550
1243,3036,550
1244,3038,550
1245,3040,550
1246,3042,550
1247,3044,550
1248,3046,550
1249,3048,550
1250,3050,550
1251,3052,550
1252,3054,550
1253,3056,550
1254,3058,550
1255,3060,550
1256,3062,550
1257,3064,550
1258,3066,550
1259,3068,550
1260,3070,550
1261,3072,550
1262,3074,550
1263,3076,550
1264,3078,550
1265,3080,550
1266,3082,550
1267,3084,550
1268,3086,550
1269,3088,550
1270,3090,550
1271,3092,550
1272,3094,550
1273,3096,550
1274,3098,550
1275,3100,550
1276,3102,550
1277,3104,550
1278,3106,550
1279,3108,550
1280,3110,550
1281,3112,550
1282,3114,550
1283,3116,550
1284,3118,550
1285,3120,550
1286,3122,550
1287,3124,550
1288,3126,550
1289,3128,550
1290,3130,550
1291,3132,550
1292,3134,550
1293,3136,550
1294,3138,550
1295,3140,550
1296,3142,550
1297,3144,550
1298,3146,550
1299,3148,550
1300,3150,550
1301,3152,550
1302,3154,550
1303,3156,550
1304,3158,550
1305,3160,550
1306,3162,550
1307,3164,550
1308,3166,550
1309,3168,550
1310,3170,550
1311,3172,550
1312,3174,550
1313,3176,550
1314,3178,550
1315,3180,550
1316,3182,550
1317,3184,550
1318,3186,550
1319,3188,550
1320,3190,550
1321,3192,550
1322,3194,550
1323,3196,550
1324,3198,550
1325,3200,550
1326,3202,550
1327,3204,550
1328,3206,550
1329,3208,550
1330,3210,550
1331,3212,550
1332,3214,550
1333,3216,550
1334,3218,550
1335,3220,550
1336,3222,550
1337,3224,550
1338,3226,550
1339,3228,550
1340,3230,550
1341,3232,550
1342,3234,550
1343,3236,550
1344,3238,550
1345,3240,550
1346,3242,550
1347,3244,550
1348,3246,550
1349,3248,550
1350,3250,550
1351,3252,550
1352,3254,550
1353,3256,550
1354,3258,550
1355,3260,550
1356,3262,550
1357,3264,550
1358,3266,550
1359,3268,550
1360,3270,550
1361,3272,550
1362,3274,550
1363,3276,550
1364,3278,550
1365,3280,550
1366,3282,550
1367,3284,550
1368,3286,550
1369,3288,550
1370,3290,550
1371,3292,550
1372,3294,550
1373,3296,550
1374,3298,550
1375,3300,550
1376,3302,550
1377,3304,550
1378,3306,550
1379,3308,550
1380,3310,550
1381,3312,550
1382,3314,550
1383,3316,550
1384,3318,550
1385,3320,550
1386,3322,550
1387,3324,550
1388,3326,550
1389,3328,550
1390,3330,550
1391,3332,550
